name,id,rarity,type,extraTypes,shop,price,staminaCost,minDam,maxDam,cd,accuracy,chance,chance2,shopChance,block,p1,p2,p3,p4,p5,material,canActivate,recipes,gateItem,tags,gain,use,remove,threshold,weight,p6,p7,p8,p9,p10,appropriated,demo,earliestRound,latestRound,requires,version,animation,physics,textEffect,class_override
War Scythe,497,Godly,Melee Weapon,Dark,no,16,0.8,10,14,1.4,90,10:crit,,,,5:poisont,20:critdam,,,,Metal,,,,,,,,,,,,,,,,no,,,,1.1.0,Slash,Dense,,
Frog Prince,498,Godly,Pet,"Holy,Magic,Nature",no,18,,,,2.6,,,,,,10:gained,1:blind,20:heal,30:used,5:luck,,,,,,"Mana,Lucky",,Blind,,,5:mana,2.5:dur_1,1:luck2,1:mana2,,,no,,,,1.1.0,,Slime,,
Molten Spear2,499,Legendary,Melee Weapon,Fire,no,12,1,3,8,1.5,65,,,,,2:heatt,3:missdam,1:blind,1:blind_self,5:blockremoval,Metal,,,,,Blind,Heat,,,,7:fire,,,,,,no,,,,1.1.0,Stab,Dense,,
Phoenix2,500,Godly,Ranged Weapon,"Pet,Fire,Effect",no,14,0,15,20,2.5,85,6:crit,,,,10:selfdam,6:reincarnate_health,6:fire,,,,,,,,,Heat,,,,,,,,,,no,,,,1.1.0,SquishyJump,Floaty,,
Whetstone2,501,Rare,Accessory,,no,4,,,,,,,,,,1:dam,,,,,Stone,,Forging Hammer*>Whetstone3,,,,,,,,,,,,,,no,,,,1.1.0,,Dense,,
Whetstone3,502,Epic,Accessory,,no,4,,,,,,,,,,2:dam,10:blockfactor,,,,Stone,,,,,,,,,,,,,,,,no,,,,1.1.0,,VeryDense,Steel,
Steel Dragon,503,Godly,Ranged Weapon,"Pet,Fire,Effect",no,14,0,5,10,2.1,90,,,,,8:reflect,6:dam,40:blockfactor,,,,,,,Dragon,,,,,,,,,,,,no,,,,1.1.0,,VeryDense,Stompy,
Halberd,504,Legendary,Melee Weapon,,no,16,1.4,3,6,2,85,,,,,1:dam,4:blockremoval,35:blockfactor,,,Metal,,,,,,,,,,,,,,,,no,,,,1.1.0,Slash,Dense,Steel,
Magic Ring,505,Legendary,Accessory,,Adventurer,7,,,,6,,,,,,"4:poison,3:cold,2:blind","3:lucky,3:regeneration,3:spikes","4:mana,3:heat","3:vampirism,2:empower",50:healtht,Jewelry,,Magic Ring>Superior Ring,,,,,,,,70:healtht_opp,"1.0:scale1,0.75:scale2,1.5:scale3,1.5:scale4",2:effects,,,King of the Bling,no,,,,1.1.0,,,,
Superior Ring,506,Godly,Accessory,,no,14,,,,4,,,,,,"4:poison,3:cold,2:blind","3:lucky,3:regeneration,3:spikes","4:mana,3:heat","3:vampirism,2:empower",50:healtht,Jewelry,,,,,,,,,,70:healtht_opp,"1.5:scale1,0.75:scale2,2.5:scale3,2.5:scale4",3:effects,,,King of the Bling,no,,,,1.1.0,,,,
Broccotree,507,Godly,Food,Nature,no,10,,,,6,,,,,,3:luck,5:luckt,3:regen,1:stamina,,Squishy,,,,,"Regeneration,Lucky",,,,,,,,,,,no,,,,1.1.0,,,,
Cupcake Dragon,508,Godly,Ranged Weapon,"Pet,Fire,Magic,Effect",no,15,0,5,10,2.1,90,,,,,2:remove,2:gain,15:speed,,,,,,,Dragon,Buff,,Buff,,,,,,,,,no,,,,1.1.0,SquishyJump,Floaty,,
Wand of Dissonance,509,Godly,Accessory,"Dark,Magic",no,10,,8,8,2.9,,,,,,7:healtht,4:mana,3:luck,3:regen,5:dam,Wood,,,,,"Regeneration,Lucky,Mana",,,,,,,,,,,no,,,,1.1.0,Wave,,,
Amulet of Light,510,Rare,Accessory,Holy,no,6,,,,,,10:regen,30:holy,,,3:maxhealth,1:regen,,,,Jewelry,no,,Amulet Unidentified,,Regeneration,,,,,,,,,,,no,,,,1.1.0,,,,
Gold Armor,511,Godly,Armor,Holy,no,22,,,,2.2,,,,,120,3:gold,3:regen,5:cleanse,25:block,50:speed,Metal,,,,,Regeneration,,Debuff,,,,,,,,,no,,,,1.1.0,,VeryDense,Gold,
Pine Protector,512,Godly,Shield,Nature,no,14,,,,,,30,,,,10:damblock,0.3:stamina,1:spikes,"5:maxspikes,1:maxspikes_food",1:damblock2,Wood,,,,,Spikes,,,,,10:maxblock,8:heal,,,,,no,,,,1.1.0,Block,,,
Onion Cutter,513,Legendary,Melee Weapon,,no,9,0.5,2,4,1.4,90,,,,,2:dam,12:speed,,,,Metal,,,,,,,,,,,,,,,,no,,,,1.1.0,Stab,,Steel,
Pot,514,Rare,Accessory,,no,8,,,,15,,,,,,10:heal,2:heal_food,6:heat,6:regen,50:speed,Metal,,,,,"Heat,Regeneration",,,,,,,,,,,no,,,,1.1.0,,Dense,Steel,
Cog Badge,515,Unique,Accessory,,unique,5,,,,4,,,,,,2:dur,10:speed,3:speed2,,,Jewelry,,,,,,,,,,,,,,,,no,1,,,1.1.0,,,,
Furcifer Prime,487,Unique,Accessory,,unique,5,,,,,,,,30:crafted,,2:gold,10:sales,,,,Paper,,,,,,,,,,,,,,,,no,,,,1.1.0,,,Gold,
Angel Crystal,488,Unique,Accessory,Holy,unique,6,,,,7,,,,,,3:regen,2:regen_holy,3:empower,1:empower_holy,4:maxhealth,Glass,,,,,"Regeneration,Empower",,,,,,,,,,,no,,,,1.1.0,,Floaty,,
Thorn Elemental,489,Unique,Pet,Nature,unique,6,,,,3,,10:crit,,,,50:spikedam,3:spikes,,,,Squishy,,,,,Spikes,,,,,,,,,,,no,,,,1.1.0,,Dense,,
Lightning Potion,490,Unique,Potion,,unique,7,,10,10,"2,7",,,,,,10:blind,5:dur_blind,5:heal,,,Glass,,,,,Blind,,,,,,,,,,,no,,,,1.1.0,,,Lightning,
Sloth,491,Unique,Pet,Nature,unique,5,,,,25,,,,,,30:speed,10:maxhealth_base,15:maxhealth_item,10:buffs,1:buffs_amulet,,,,,,Buff,,,,,1.5:dur_stun,0.5:dur_stun_amulet,,,,,no,,,,1.1.0,,,,
